p1_p2_dist,p1_p3_dist,p2_p3_dist,p1_acc,p2_acc,p3_acc,p1_target,p2_target,p3_target,p1_survive,p2_survive,p3_survive
0.3497231520099881,0.3427296048901385,0.07864001592212379,0.9058712850835988,0.5115320983035906,0.4231816806627847,2,1,1,0.254,0.165,0.661
0.3497231520099881,0.3427296048901385,0.07864001592212379,0.9058712850835988,0.5115320983035906,0.4231816806627847,2,1,2,0.429,0.064,0.611
0.3497231520099881,0.3427296048901385,0.07864001592212379,0.9058712850835988,0.5115320983035906,0.4231816806627847,2,3,1,0.53,0.177,0.272
0.3497231520099881,0.3427296048901385,0.07864001592212379,0.9058712850835988,0.5115320983035906,0.4231816806627847,2,3,2,0.822,0.079,0.186
0.3497231520099881,0.3427296048901385,0.07864001592212379,0.9058712850835988,0.5115320983035906,0.4231816806627847,3,1,1,0.266,0.674,0.144
0.3497231520099881,0.3427296048901385,0.07864001592212379,0.9058712850835988,0.5115320983035906,0.4231816806627847,3,1,2,0.464,0.32,0.174
0.3497231520099881,0.3427296048901385,0.07864001592212379,0.9058712850835988,0.5115320983035906,0.4231816806627847,3,3,1,0.461,0.579,0.04
0.3497231520099881,0.3427296048901385,0.07864001592212379,0.9058712850835988,0.5115320983035906,0.4231816806627847,3,3,2,0.807,0.228,0.039
0.4702032879835523,0.7499938912104036,0.35686014900058816,0.9768627380781262,0.39227186191422336,0.06660682823556896,2,1,1,0.641,0.159,0.793
0.4702032879835523,0.7499938912104036,0.35686014900058816,0.9768627380781262,0.39227186191422336,0.06660682823556896,2,1,2,0.634,0.162,0.793
0.4702032879835523,0.7499938912104036,0.35686014900058816,0.9768627380781262,0.39227186191422336,0.06660682823556896,2,3,1,0.918,0.095,0.485
0.4702032879835523,0.7499938912104036,0.35686014900058816,0.9768627380781262,0.39227186191422336,0.06660682823556896,2,3,2,0.944,0.105,0.448
0.4702032879835523,0.7499938912104036,0.35686014900058816,0.9768627380781262,0.39227186191422336,0.06660682823556896,3,1,1,0.385,0.744,0.294
0.4702032879835523,0.7499938912104036,0.35686014900058816,0.9768627380781262,0.39227186191422336,0.06660682823556896,3,1,2,0.411,0.688,0.33
0.4702032879835523,0.7499938912104036,0.35686014900058816,0.9768627380781262,0.39227186191422336,0.06660682823556896,3,3,1,0.772,0.502,0.016
0.4702032879835523,0.7499938912104036,0.35686014900058816,0.9768627380781262,0.39227186191422336,0.06660682823556896,3,3,2,0.803,0.427,0.041
0.5204809536353868,0.3513363707159037,0.17103055541796636,0.6600367504420598,0.3026429796474175,0.274859532309334,2,1,1,0.334,0.315,0.705
0.5204809536353868,0.3513363707159037,0.17103055541796636,0.6600367504420598,0.3026429796474175,0.274859532309334,2,1,2,0.604,0.095,0.65
0.5204809536353868,0.3513363707159037,0.17103055541796636,0.6600367504420598,0.3026429796474175,0.274859532309334,2,3,1,0.579,0.357,0.386
0.5204809536353868,0.3513363707159037,0.17103055541796636,0.6600367504420598,0.3026429796474175,0.274859532309334,2,3,2,0.886,0.145,0.317
0.5204809536353868,0.3513363707159037,0.17103055541796636,0.6600367504420598,0.3026429796474175,0.274859532309334,3,1,1,0.391,0.78,0.209
0.5204809536353868,0.3513363707159037,0.17103055541796636,0.6600367504420598,0.3026429796474175,0.274859532309334,3,1,2,0.657,0.465,0.214
0.5204809536353868,0.3513363707159037,0.17103055541796636,0.6600367504420598,0.3026429796474175,0.274859532309334,3,3,1,0.629,0.751,0.078
0.5204809536353868,0.3513363707159037,0.17103055541796636,0.6600367504420598,0.3026429796474175,0.274859532309334,3,3,2,0.876,0.448,0.073
0.5478408037339484,0.5466335098280306,0.35347655731461153,0.6599456208254451,0.19817458436081037,0.05109630373133556,2,1,1,0.701,0.181,0.746
0.5478408037339484,0.5466335098280306,0.35347655731461153,0.6599456208254451,0.19817458436081037,0.05109630373133556,2,1,2,0.746,0.154,0.759
0.5478408037339484,0.5466335098280306,0.35347655731461153,0.6599456208254451,0.19817458436081037,0.05109630373133556,2,3,1,0.9,0.205,0.51
0.5478408037339484,0.5466335098280306,0.35347655731461153,0.6599456208254451,0.19817458436081037,0.05109630373133556,2,3,2,0.965,0.155,0.483
0.5478408037339484,0.5466335098280306,0.35347655731461153,0.6599456208254451,0.19817458436081037,0.05109630373133556,3,1,1,0.633,0.805,0.166
0.5478408037339484,0.5466335098280306,0.35347655731461153,0.6599456208254451,0.19817458436081037,0.05109630373133556,3,1,2,0.712,0.692,0.169
0.5478408037339484,0.5466335098280306,0.35347655731461153,0.6599456208254451,0.19817458436081037,0.05109630373133556,3,3,1,0.86,0.708,0.027
0.5478408037339484,0.5466335098280306,0.35347655731461153,0.6599456208254451,0.19817458436081037,0.05109630373133556,3,3,2,0.931,0.608,0.044
0.3986204344172247,0.429028732340609,0.2708891907240542,0.904307756786267,0.815516344971008,0.5279907870268095,2,1,1,0.175,0.215,0.673
0.3986204344172247,0.429028732340609,0.2708891907240542,0.904307756786267,0.815516344971008,0.5279907870268095,2,1,2,0.311,0.098,0.664
0.3986204344172247,0.429028732340609,0.2708891907240542,0.904307756786267,0.815516344971008,0.5279907870268095,2,3,1,0.499,0.229,0.189
0.3986204344172247,0.429028732340609,0.2708891907240542,0.904307756786267,0.815516344971008,0.5279907870268095,2,3,2,0.795,0.084,0.167
0.3986204344172247,0.429028732340609,0.2708891907240542,0.904307756786267,0.815516344971008,0.5279907870268095,3,1,1,0.087,0.74,0.153
0.3986204344172247,0.429028732340609,0.2708891907240542,0.904307756786267,0.815516344971008,0.5279907870268095,3,1,2,0.307,0.375,0.248
0.3986204344172247,0.429028732340609,0.2708891907240542,0.904307756786267,0.815516344971008,0.5279907870268095,3,3,1,0.325,0.598,0.036
0.3986204344172247,0.429028732340609,0.2708891907240542,0.904307756786267,0.815516344971008,0.5279907870268095,3,3,2,0.69,0.292,0.04
0.32070323301519804,0.11719769077812905,0.37320607112101545,0.9115139724927165,0.6685120293708285,0.3226027974713519,2,1,1,0.2,0.232,0.677
0.32070323301519804,0.11719769077812905,0.37320607112101545,0.9115139724927165,0.6685120293708285,0.3226027974713519,2,1,2,0.341,0.106,0.552
0.32070323301519804,0.11719769077812905,0.37320607112101545,0.9115139724927165,0.6685120293708285,0.3226027974713519,2,3,1,0.554,0.165,0.212
0.32070323301519804,0.11719769077812905,0.37320607112101545,0.9115139724927165,0.6685120293708285,0.3226027974713519,2,3,2,0.802,0.065,0.092
0.32070323301519804,0.11719769077812905,0.37320607112101545,0.9115139724927165,0.6685120293708285,0.3226027974713519,3,1,1,0.198,0.766,0.066
0.32070323301519804,0.11719769077812905,0.37320607112101545,0.9115139724927165,0.6685120293708285,0.3226027974713519,3,1,2,0.327,0.513,0.065
0.32070323301519804,0.11719769077812905,0.37320607112101545,0.9115139724927165,0.6685120293708285,0.3226027974713519,3,3,1,0.371,0.58,0.018
0.32070323301519804,0.11719769077812905,0.37320607112101545,0.9115139724927165,0.6685120293708285,0.3226027974713519,3,3,2,0.624,0.302,0.005
0.25339537382422683,0.5027078286688612,0.2580401000000676,0.6371823335562552,0.610618471909431,0.3013202099323349,2,1,1,0.241,0.296,0.744
0.25339537382422683,0.5027078286688612,0.2580401000000676,0.6371823335562552,0.610618471909431,0.3013202099323349,2,1,2,0.371,0.195,0.727
0.25339537382422683,0.5027078286688612,0.2580401000000676,0.6371823335562552,0.610618471909431,0.3013202099323349,2,3,1,0.64,0.229,0.292
0.25339537382422683,0.5027078286688612,0.2580401000000676,0.6371823335562552,0.610618471909431,0.3013202099323349,2,3,2,0.812,0.131,0.265
0.25339537382422683,0.5027078286688612,0.2580401000000676,0.6371823335562552,0.610618471909431,0.3013202099323349,3,1,1,0.116,0.766,0.28
0.25339537382422683,0.5027078286688612,0.2580401000000676,0.6371823335562552,0.610618471909431,0.3013202099323349,3,1,2,0.249,0.542,0.368
0.25339537382422683,0.5027078286688612,0.2580401000000676,0.6371823335562552,0.610618471909431,0.3013202099323349,3,3,1,0.426,0.61,0.052
0.25339537382422683,0.5027078286688612,0.2580401000000676,0.6371823335562552,0.610618471909431,0.3013202099323349,3,3,2,0.672,0.353,0.083
0.5328796804972573,0.6694174563980176,0.4741291701035501,0.7412145232778747,0.7253980724341975,0.39803073512390275,2,1,1,0.254,0.363,0.744
0.5328796804972573,0.6694174563980176,0.4741291701035501,0.7412145232778747,0.7253980724341975,0.39803073512390275,2,1,2,0.397,0.217,0.786
0.5328796804972573,0.6694174563980176,0.4741291701035501,0.7412145232778747,0.7253980724341975,0.39803073512390275,2,3,1,0.618,0.355,0.325
0.5328796804972573,0.6694174563980176,0.4741291701035501,0.7412145232778747,0.7253980724341975,0.39803073512390275,2,3,2,0.845,0.198,0.361
0.5328796804972573,0.6694174563980176,0.4741291701035501,0.7412145232778747,0.7253980724341975,0.39803073512390275,3,1,1,0.186,0.779,0.323
0.5328796804972573,0.6694174563980176,0.4741291701035501,0.7412145232778747,0.7253980724341975,0.39803073512390275,3,1,2,0.369,0.504,0.433
0.5328796804972573,0.6694174563980176,0.4741291701035501,0.7412145232778747,0.7253980724341975,0.39803073512390275,3,3,1,0.517,0.704,0.069
0.5328796804972573,0.6694174563980176,0.4741291701035501,0.7412145232778747,0.7253980724341975,0.39803073512390275,3,3,2,0.732,0.438,0.102
0.31873693857126517,0.5046882852230613,0.6035515757741822,0.9977691016320609,0.736367767232343,0.12191813164335663,2,1,1,0.358,0.179,0.752
0.31873693857126517,0.5046882852230613,0.6035515757741822,0.9977691016320609,0.736367767232343,0.12191813164335663,2,1,2,0.365,0.191,0.75
0.31873693857126517,0.5046882852230613,0.6035515757741822,0.9977691016320609,0.736367767232343,0.12191813164335663,2,3,1,0.812,0.058,0.319
0.31873693857126517,0.5046882852230613,0.6035515757741822,0.9977691016320609,0.736367767232343,0.12191813164335663,2,3,2,0.906,0.036,0.287
0.31873693857126517,0.5046882852230613,0.6035515757741822,0.9977691016320609,0.736367767232343,0.12191813164335663,3,1,1,0.176,0.772,0.256
0.31873693857126517,0.5046882852230613,0.6035515757741822,0.9977691016320609,0.736367767232343,0.12191813164335663,3,1,2,0.17,0.734,0.279
0.31873693857126517,0.5046882852230613,0.6035515757741822,0.9977691016320609,0.736367767232343,0.12191813164335663,3,3,1,0.436,0.371,0.017
0.31873693857126517,0.5046882852230613,0.6035515757741822,0.9977691016320609,0.736367767232343,0.12191813164335663,3,3,2,0.518,0.262,0.013
0.20779276778006547,0.29458779263059404,0.1229544920885999,0.9507648067662039,0.19399983292127898,0.1690669677735942,2,1,1,0.598,0.059,0.519
0.20779276778006547,0.29458779263059404,0.1229544920885999,0.9507648067662039,0.19399983292127898,0.1690669677735942,2,1,2,0.719,0.038,0.445
0.20779276778006547,0.29458779263059404,0.1229544920885999,0.9507648067662039,0.19399983292127898,0.1690669677735942,2,3,1,0.752,0.035,0.354
0.20779276778006547,0.29458779263059404,0.1229544920885999,0.9507648067662039,0.19399983292127898,0.1690669677735942,2,3,2,0.9,0.012,0.268
0.20779276778006547,0.29458779263059404,0.1229544920885999,0.9507648067662039,0.19399983292127898,0.1690669677735942,3,1,1,0.59,0.476,0.079
0.20779276778006547,0.29458779263059404,0.1229544920885999,0.9507648067662039,0.19399983292127898,0.1690669677735942,3,1,2,0.657,0.344,0.072
0.20779276778006547,0.29458779263059404,0.1229544920885999,0.9507648067662039,0.19399983292127898,0.1690669677735942,3,3,1,0.712,0.362,0.039
0.20779276778006547,0.29458779263059404,0.1229544920885999,0.9507648067662039,0.19399983292127898,0.1690669677735942,3,3,2,0.903,0.217,0.018
0.5142193989800221,0.4191046120202999,0.31861231654972877,0.7477815039833731,0.6677135069354547,0.6276929501699243,2,1,1,0.139,0.291,0.668
0.5142193989800221,0.4191046120202999,0.31861231654972877,0.7477815039833731,0.6677135069354547,0.6276929501699243,2,1,2,0.38,0.083,0.689
0.5142193989800221,0.4191046120202999,0.31861231654972877,0.7477815039833731,0.6677135069354547,0.6276929501699243,2,3,1,0.408,0.369,0.279
0.5142193989800221,0.4191046120202999,0.31861231654972877,0.7477815039833731,0.6677135069354547,0.6276929501699243,2,3,2,0.754,0.13,0.267
0.5142193989800221,0.4191046120202999,0.31861231654972877,0.7477815039833731,0.6677135069354547,0.6276929501699243,3,1,1,0.177,0.741,0.222
0.5142193989800221,0.4191046120202999,0.31861231654972877,0.7477815039833731,0.6677135069354547,0.6276929501699243,3,1,2,0.435,0.319,0.316
0.5142193989800221,0.4191046120202999,0.31861231654972877,0.7477815039833731,0.6677135069354547,0.6276929501699243,3,3,1,0.353,0.769,0.086
0.5142193989800221,0.4191046120202999,0.31861231654972877,0.7477815039833731,0.6677135069354547,0.6276929501699243,3,3,2,0.772,0.289,0.106
0.5406027809084402,0.6234632258206941,0.1526469421596677,0.885591326448631,0.23552476764687147,0.000683653794171124,2,1,1,0.78,0.133,0.702
0.5406027809084402,0.6234632258206941,0.1526469421596677,0.885591326448631,0.23552476764687147,0.000683653794171124,2,1,2,0.787,0.126,0.718
0.5406027809084402,0.6234632258206941,0.1526469421596677,0.885591326448631,0.23552476764687147,0.000683653794171124,2,3,1,0.966,0.157,0.388
0.5406027809084402,0.6234632258206941,0.1526469421596677,0.885591326448631,0.23552476764687147,0.000683653794171124,2,3,2,0.977,0.133,0.409
0.5406027809084402,0.6234632258206941,0.1526469421596677,0.885591326448631,0.23552476764687147,0.000683653794171124,3,1,1,0.676,0.683,0.143
0.5406027809084402,0.6234632258206941,0.1526469421596677,0.885591326448631,0.23552476764687147,0.000683653794171124,3,1,2,0.647,0.697,0.135
0.5406027809084402,0.6234632258206941,0.1526469421596677,0.885591326448631,0.23552476764687147,0.000683653794171124,3,3,1,0.883,0.585,0.0
0.5406027809084402,0.6234632258206941,0.1526469421596677,0.885591326448631,0.23552476764687147,0.000683653794171124,3,3,2,0.895,0.588,0.0
0.314076763311143,0.24287271564470564,0.07383055538425286,0.7074425615041949,0.13758884979753172,0.010062294262405902,2,1,1,0.816,0.085,0.554
0.314076763311143,0.24287271564470564,0.07383055538425286,0.7074425615041949,0.13758884979753172,0.010062294262405902,2,1,2,0.828,0.086,0.536
0.314076763311143,0.24287271564470564,0.07383055538425286,0.7074425615041949,0.13758884979753172,0.010062294262405902,2,3,1,0.971,0.071,0.349
0.314076763311143,0.24287271564470564,0.07383055538425286,0.7074425615041949,0.13758884979753172,0.010062294262405902,2,3,2,0.985,0.067,0.351
0.314076763311143,0.24287271564470564,0.07383055538425286,0.7074425615041949,0.13758884979753172,0.010062294262405902,3,1,1,0.751,0.604,0.059
0.314076763311143,0.24287271564470564,0.07383055538425286,0.7074425615041949,0.13758884979753172,0.010062294262405902,3,1,2,0.756,0.597,0.072
0.314076763311143,0.24287271564470564,0.07383055538425286,0.7074425615041949,0.13758884979753172,0.010062294262405902,3,3,1,0.884,0.522,0.006
0.314076763311143,0.24287271564470564,0.07383055538425286,0.7074425615041949,0.13758884979753172,0.010062294262405902,3,3,2,0.916,0.493,0.0
0.368977362941041,0.40200959239487644,0.32953834080613914,0.3226543133099037,0.3188526020469298,0.16498928292904502,2,1,1,0.289,0.478,0.82
0.368977362941041,0.40200959239487644,0.32953834080613914,0.3226543133099037,0.3188526020469298,0.16498928292904502,2,1,2,0.446,0.314,0.825
0.368977362941041,0.40200959239487644,0.32953834080613914,0.3226543133099037,0.3188526020469298,0.16498928292904502,2,3,1,0.67,0.431,0.406
0.368977362941041,0.40200959239487644,0.32953834080613914,0.3226543133099037,0.3188526020469298,0.16498928292904502,2,3,2,0.895,0.257,0.43
0.368977362941041,0.40200959239487644,0.32953834080613914,0.3226543133099037,0.3188526020469298,0.16498928292904502,3,1,1,0.261,0.869,0.424
0.368977362941041,0.40200959239487644,0.32953834080613914,0.3226543133099037,0.3188526020469298,0.16498928292904502,3,1,2,0.463,0.6,0.448
0.368977362941041,0.40200959239487644,0.32953834080613914,0.3226543133099037,0.3188526020469298,0.16498928292904502,3,3,1,0.616,0.843,0.116
0.368977362941041,0.40200959239487644,0.32953834080613914,0.3226543133099037,0.3188526020469298,0.16498928292904502,3,3,2,0.818,0.589,0.137
0.5630070431129751,0.4560995450956468,0.4181668801436235,0.9527958853646966,0.8457158571570675,0.7316496580294944,2,1,1,0.146,0.263,0.668
0.5630070431129751,0.4560995450956468,0.4181668801436235,0.9527958853646966,0.8457158571570675,0.7316496580294944,2,1,2,0.292,0.09,0.653
0.5630070431129751,0.4560995450956468,0.4181668801436235,0.9527958853646966,0.8457158571570675,0.7316496580294944,2,3,1,0.38,0.339,0.252
0.5630070431129751,0.4560995450956468,0.4181668801436235,0.9527958853646966,0.8457158571570675,0.7316496580294944,2,3,2,0.761,0.116,0.184
0.5630070431129751,0.4560995450956468,0.4181668801436235,0.9527958853646966,0.8457158571570675,0.7316496580294944,3,1,1,0.168,0.746,0.199
0.5630070431129751,0.4560995450956468,0.4181668801436235,0.9527958853646966,0.8457158571570675,0.7316496580294944,3,1,2,0.399,0.393,0.211
0.5630070431129751,0.4560995450956468,0.4181668801436235,0.9527958853646966,0.8457158571570675,0.7316496580294944,3,3,1,0.344,0.695,0.063
0.5630070431129751,0.4560995450956468,0.4181668801436235,0.9527958853646966,0.8457158571570675,0.7316496580294944,3,3,2,0.758,0.276,0.051
0.27827452992741114,0.15027965646870142,0.3707183447007603,0.9944676151853786,0.5051185364326412,0.4678685850373574,2,1,1,0.163,0.147,0.692
0.27827452992741114,0.15027965646870142,0.3707183447007603,0.9944676151853786,0.5051185364326412,0.4678685850373574,2,1,2,0.379,0.059,0.485
0.27827452992741114,0.15027965646870142,0.3707183447007603,0.9944676151853786,0.5051185364326412,0.4678685850373574,2,3,1,0.378,0.115,0.333
0.27827452992741114,0.15027965646870142,0.3707183447007603,0.9944676151853786,0.5051185364326412,0.4678685850373574,2,3,2,0.702,0.03,0.093
0.27827452992741114,0.15027965646870142,0.3707183447007603,0.9944676151853786,0.5051185364326412,0.4678685850373574,3,1,1,0.21,0.713,0.067
0.27827452992741114,0.15027965646870142,0.3707183447007603,0.9944676151853786,0.5051185364326412,0.4678685850373574,3,1,2,0.423,0.423,0.052
0.27827452992741114,0.15027965646870142,0.3707183447007603,0.9944676151853786,0.5051185364326412,0.4678685850373574,3,3,1,0.395,0.543,0.022
0.27827452992741114,0.15027965646870142,0.3707183447007603,0.9944676151853786,0.5051185364326412,0.4678685850373574,3,3,2,0.723,0.19,0.008
